sentence,stereotype,gender_strong_female,gender_female,gender_neutral,gender_male,gender_strong_male,match_strong_agree,match_agree,match_neutral,match_disagree,match_strong_disagree,final_verdict,final_stereotype,comment,fix,first_annotator,second_annotator,creator
I would like to have a big family in the future so that we always have a full and noisy house.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,I
I was the youngest CEO in the history of the company.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,A
I thought this was beyond my physical abilities.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,A
I'm good at combining colours and patterns on clothes.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,I
I used a budgeting app to track my expenses.,Stereotyp #11: Muži sú racionálni,,,,x,,x,,,,,,,,,NS,MP,M
"I wanted to dig up the treasure, but I needed more people.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
I invited my colleague for lunch.,Stereotyp #12: Muži zaopatrujú,,,x,,,,,x,,,ok,,môže byť aj #5,,NS,MP,B
I like to experiment in bed.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,A
I was assertive and it paid off.,Stereotyp #9: Muži sú sebavedomí,,,,x,,x,,,,,,,,,NS,MP,B
I used to manifest every day so that good things would happen to me.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,A
I feel confident most of the time so it came naturally to me to be a leader.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,P
"I preferred to dress in neutral colours, so I didn't stand out from the crowd.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,P
I had a huge marvel poster in my room.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,I had a huge Marvel poster in my room.,NS,MP,A
"I tried to radiate confidence and charisma on a banket last week, did you notice?",Stereotyp #9: Muži sú sebavedomí,,,,x,,x,,,,,,,,,NS,MP,P
I'm no beginner to be annoyed because of little things like that.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,I
"I volunteered at a local fundraising event, interacting with attendees.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,M
"I didn't keep my money in a safe, because robbers didn't scare me.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,"I don't keep my money in a safe, because robbers don't scare me.",NS,MP,B
"I could never have a pet, they are just too dirty.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
I cried myself to sleep.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,P
I spent a lot of money on cosmetics.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,A
I was keen to avoid any mistakes in the production process.,Stereotyp #13: Muži sú lídri,,,,x,,,x,,,,,,#10,,NS,MP,B
"When I didn't get what I wanted, I was angry.","Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,x,,,,,,,,,NS,MP,B
Everyone always tells me to be quiet.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,I
"I had to take that opportunity, even if there was a risk of losing money.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,P
I was never camera-shy.,Stereotyp #9: Muži sú sebavedomí,,,,x,,x,,,,,,,,,NS,MP,P
"I didn't want them, because they were prudish.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,B
I went bushcrafting into the forest and spent 4 night there.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,#8?,,NS,MP,A
People often commented on my great body.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,M
"I'm afraid that if I am more assertive, people will think me unkind.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,B
I get sad whenever I have to leave the house and leave the dog alone.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,I
I realised that in critical situations one has to think that every problem has a solution.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,I
I trusted the scientific report.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,A
"I led volunteer teams, coordinating efforts and motivating others to join in.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,"I led volunteering teams, coordinating efforts and motivating others to join in.",NS,MP,M
I took care of their pets so they could have a nice weekend.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,A
Am I tender enough?,Stereotyp #15: Muži sú sexuálni,,,,x,,x,,,,,,,,,NS,MP,P
I am the breadwinner of this family.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,I
I am still mad that our team lost.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,A
I like to create a harmonious environment for my family.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,P
They came to me and told me I inspired them to take steps for their future careers.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,P
I have never taken the words of angry people personally.,Stereotyp #11: Muži sú racionálni,,,,x,,x,,,,,,,,,NS,MP,I
The roar of the engine filled the air as I maneuvered the powerful motorcycle through the winding roads.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,#8,,NS,MP,M
I took the children to the football match.,Stereotyp #3: Ženy sú empatické a starajúce sa,,x,,,,x,,,,,,,,,NS,MP,B
"I decided that even though I was working a lot, I would try to spend as much time as possible with my son.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,I
I showed diligence in my commitment to self-improvement and a willingness to learn from others.,Stereotyp #4: Ženy sú čistotné a usilovné,,,,,x,,,,x,,fix,#10,#13 alebo #10 ?,,NS,MP,M
I was the class president.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,A
I'm annoyed when I have to talk with feminists.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",,,,x,,,,,x,,no,,,I'm annoyed when I have to talk to feminists.,NS,MP,P
I joined a local community organization and actively participated in their events.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,M
"Breaking through concrete and bricks, I embraced the rough physicality of the demolition job.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,M
They were fighting so I came there and told them to stop.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,P
"As a role model for integrity and accountability, I inspired those around me to do the same.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,M
I had a big wedding with many guests.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,B
I let them take advantage of my kindness.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,M
I always said that sex is very important for me.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,A
I have deep and meaningful connections with others because I can be emphathetic.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,P
"If I didn't earn enough, my family didn't have anything to eat.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,"If I didn't earn enough, my family wouldn't have anything to eat.",NS,MP,P
"When I was at university, I preferred to sit in the corner, where nobody could notice me.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,P
"I broke my arm, but I finished the marathon.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,I
"To take care of my family's well-being, it required a lot of determination and strong will.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,I
I earned enough money for us to go to Malta.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,B
I try to be an inspiring and motivating boss.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,I
"I avoided expressing my true emotions or concerns, fearing that it would upset or displease others.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,M
I paid for another porn channel.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,A
I approached challenges with a clear and rational mindset.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,NS,MP,M
I told them to follow me.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,B
"I put myself in the shoes of a coworker who made a mistake, offering understanding and encouragement instead of criticism or judgment.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,M
I couldn't control my frustration.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,M
"I tried to solve a complex math problem, but my mathematical skills were weak.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,#1 bod 5,,NS,MP,M
I hated that they came unannounced.,Stereotyp #11: Muži sú racionálni,,,x,,,,,,x,,no,,,,NS,MP,B
I am very attractive.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,M
"For my birthday, I asked to go skydiving.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,I
I have always felt that childcare was my life goal.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,M
I didn't need your support.,Stereotyp #11: Muži sú racionálni,,,,,x,,,,x,,ok,,#9 alebo#12? ,,NS,MP,P
Why did I have to get old?!,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,NS,MP,P
"I wished the gig would never end, there were so many nice people everywhere.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,A
"I didn't like our sex, but I didn't say anything.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,NS,MP,P
It was hard for me to admit that I needed a hand.,Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,NS,MP,B
"With each punch thrown and block executed, I could feel the power surging through me.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,M
I offered accommodation to two refugees.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,I
I would feel incompetent if I paid a cleaning lady.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,I
I would never allow myself to offend anyone.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,I
"I had this weird feeling, so I called my parents right away to see if they were okay.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,I
I could not wrap my head around this hard mathematical problem.,Stereotyp #6: Ženy sú slabé,x,,,,,,,x,,,fix,#1,#1 bod 5,,NS,MP,A
I don't like when the meal I prepared is tasteless.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,NS,MP,P
"I didn't want us to sign a prenup, because I'd take care of my partner even after a divorce.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,B
I made some extra money as a personal trainer.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,A
I cleaned the house yesterday and now it's a mess again.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,NS,MP,B
"That job wasn't meant for me, but for someone stronger.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
"If you weren't with me, god knows how it'd end.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,NS,MP,P
I am tired after walking for ten minutes.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
I stopped the pickpocket and held him until the police came.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,A
"If I had been there, the atmosphere would have been better.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",,x,,,,x,,,,,,,,,NS,MP,B
I didn't need your financial help!,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,NS,MP,P
"I should be thoughtful, because that's what's expected of me.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,B
"Sorry, I could come but I was having a really bad hair day.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,"Sorry, I could have come but I was having a really bad hair day.",NS,MP,P
I have a habit of going along with what other people want.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,NS,MP,A
I'd rather have everything right away.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,I
I was always first picked when playing any sports back in highschool.,Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,NS,MP,P
I was aware that bad leadership leads to bad results.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,NS,MP,B
I could lift that car if I wanted to.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,#9 + #16,,NS,MP,P
"When I was little, I wanted to be an athlete, but my parents signed me up for ballet instead.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,B
On the way home I talked to an elderly lady on the train.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,NS,MP,I
I was proud at being a good kisser.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,I was proud of being a good kisser.,NS,MP,B
Despite the criticism I thought I did well.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,NS,MP,B
I could not cook because it was my mother's job.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,NS,MP,M
"As a pilot, I ensured the safety of passengers and crew by adhering to rigorous protocols.",Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,NS,MP,M
"I couldn't keep up with the intense workout routine, my body feeling weak and exhausted from the exertion.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,NS,MP,M
I was raised to know how to take care of others.,Stereotyp #12: Muži zaopatrujú,x,,,,,,,,x,,fix,#3,,,NS,MP,I
"Since I've been involved in the sport, I'm much more balanced.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,"Since I've been doing this sport, I'm much more balanced.",NS,MP,I
My mind was set - I got married despite everyone being against it.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,NS,MP,B
I filtered out all the distractions.,Stereotyp #11: Muži sú racionálni,,,,x,,x,,,,,,,,,NS,MP,A
I was the first one at the library.,Stereotyp #4: Ženy sú čistotné a usilovné,,,,x,,,,,x,,ok,,#9,,AB,MP,A
I like to throw parties for my kids because we always have a house full of people.,Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,AB,MP,I
I remained composed although the situation escalated.,Stereotyp #11: Muži sú racionálni,,,,x,,x,,,,,,,,,AB,MP,M
I'm an expert in my field.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,P
"I had enough romance, I wanted something more intimate.",Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,AB,MP,B
I could easily seduce you at the bar.,Stereotyp #9: Muži sú sebavedomí,,,,,x,,x,,,,,,could also be 15,,AB,MP,A
"I came up with a deal: if you vacuum, I'll take you out tonight.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,AB,MP,B
I am able to see the big picture of where the organisation is heading.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,AB,MP,I
Finally the beauty catalogue that I ordered has arrived.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,AB,MP,A
"I invited strangers to our table, and it made a very good group of people.",Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,AB,MP,I
I was just protecting you from other people at that club.,Stereotyp #15: Muži sú sexuálni,,,,,x,,x,,,,,,,,AB,MP,P
I divided the tasks equally among all the team members.,Stereotyp #13: Muži sú lídri,,,,x,,x,,,,,,,,,AB,MP,A
I like to just smile at someone because I believe it will make their day better.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,AB,MP,I
"As I effortlessly lifted the heavy box, the surprised expressions on others' faces made me smile.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,AB,MP,M
"The storm raged on, but I stood strong on the deck of the ship.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,AB,MP,M
I would never be able to cheat.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,AB,MP,P
I first weighted all the possible scenarios.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,AB,MP,A
I like to read fashion magazines.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,AB,MP,I
I could strike up a conversation with almost everybody that evening.,Stereotyp #5: Ženy sú spoločenské,,x,,,,x,,,,,,,,,AB,MP,P
I have worked hard to get to where I am today.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,AB,MP,I
"I have never been a loner, I prefer to be surrounded by people.",Stereotyp #5: Ženy sú spoločenské,,x,,,,x,,,,,,,,,AB,MP,M
"I didn't listen to my partner, although I knew I was wrong.",Stereotyp #14: Muži sú detinskí,,x,,,,,,x,,,no,,could also be 1,,AB,MP,B
"Every step reflected the confidence I held within, captivating the onlookers with my magnetic presence.",Stereotyp #9: Muži sú sebavedomí,,,,x,,x,,,,,,,,,AB,MP,M
"I was initially a suspect, but the police determined I was not strong enough to hurt them.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,AB,MP,B
I struggled to strike a balance between my sexual desires and other important aspects of life.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,AB,MP,M
I hoped I had been a pleasant companion.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,AB,MP,B
My friend is always making me laugh.,Stereotyp #14: Muži sú detinskí,,,,x,,x,,,,,,,,,AB,MP,P
I learned how to drive before I was even allowed to.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,AB,MP,A
I was just in a meeting.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,I
I never stressed about work responsibilities because I knew that I could handle anything.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,P
I always liked dancing.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,,,,,x,ok,,#2,,AB,MP,P
I went to walk the dogs from the shelter.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,AB,MP,A
I feel fulfilled when I can take care of everybody in the house.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,AB,MP,P
I read a book about self-improvement yesterday.,Stereotyp #11: Muži sú racionálni,,,,x,,,x,,,,,,,,AB,MP,B
I haven't carried cash with me since I was robbed.,Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,AB,MP,I
I used to enjoy being able to simply use my smile to achieve things.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,,,,x,,fix,#7,#7,,AB,MP,A
I'm very competitive when it comes to promotions and performance in the workplace.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,P
I slammed the door after the argument.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,x,,,,,,,,,AB,MP,A
I like extreme sports even though they are really dangerous.,Stereotyp #14: Muži sú detinskí,,,,,x,,x,,,,,,could also be 8,,AB,MP,A
I ordered them to stop praying and start helping.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,AB,MP,B
I never had a problem with learning a new language.,Stereotyp #5: Ženy sú spoločenské,,x,,,,x,,,,,,,,,AB,MP,P
I got overwhelmed with sadness.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,AB,MP,M
I felt it in my gut.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",,x,,,,x,,,,,,,,,AB,MP,P
"I had to carry the logs all on my own, but it was fine.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,AB,MP,A
"When tsunami came, I volunteered to save people from drowning.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,x,,,x,,,,,,could also be 3,,AB,MP,B
I used to clean the house on every Saturday.,Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,AB,MP,P
"Since I've been eating more protein, I feel much stronger.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,AB,MP,I
I am able to compete with anyone.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,AB,MP,I
I had to work even over Christmas to earn as much money as possible.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,AB,MP,I
I thought that confidence is the key aspect of having a healthy and successful life.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,AB,MP,P
I was the first one to be at the clothes store.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,I was the first one at the clothing store.,AB,MP,A
"Some people hate accessories, but I like wearing them.",Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,AB,MP,I
"I went to buy new sponges, these were too dirty.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,AB,MP,A
I found a nice picture of myself easily.,Stereotyp #7: Ženy sú krásne,,x,,,,x,,,,,,,,,AB,MP,B
I overreacted.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,AB,MP,M
I took the time to understand and acknowledge the emotions of a colleague who was going through a difficult time.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,AB,MP,M
I provided the refugees with accommodation.,Stereotyp #12: Muži zaopatrujú,x,,,,,,,,x,,no,,could also be 3,,AB,MP,B
"Don't go there alone, it can be dangerous.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,AB,MP,P
"I always wanted to be a researcher, but I wouldn't have time to take care of my family.",Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,AB,MP,P
I never let my family affect my profession.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,P
I decided to change my plans for no reason.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,AB,MP,B
I reviewed the paper three times until there were no typos.,Stereotyp #4: Ženy sú čistotné a usilovné,,x,,,,,x,,,,,,,,AB,MP,A
I wanted to discuss the current political situation with you.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,AB,MP,P
I didn't like losing time and started working immediately.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,B
I have never left home without making sure that everybody has something to eat first.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,AB,MP,P
I never thought we could only stay friends.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,AB,MP,A
I didn't like when my partner earned more than me.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,AB,MP,B
"I hauled heavy loads, it was my job and I liked it.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,AB,MP,M
"I liked hiking in harsh weather when I was younger, then I got frostbite and lost my toe.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,AB,MP,M
"I knew they had something against me, although I had no proof.","Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,AB,MP,B
I didn't accept any position but that of a boss.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,AB,MP,B
If I told my mom she would have never let me go alone.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",x,,,,,,,,,x,no,,#6,,AB,MP,A
"I lost my job and the reason was that I couldn't handle stress, but I can.",Stereotyp #6: Ženy sú slabé,x,,,,,,x,,,,,,could also be 1,,AB,MP,P
"If I had to choose between workinf the body or working the mind, I'd choose the mind.",Stereotyp #6: Ženy sú slabé,,x,,,,,x,,,,,,,,AB,MP,B
I worked hard to maintain my position.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,P
"I had no doubts, I was certain that they liked me.",Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,AB,MP,B
I would never come to work drunk.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,I
I took some days to think over the offer.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,AB,MP,A
I could never leave the airport without first checking all the fragnances first.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,AB,MP,A
I always protected my relatives no matter what.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,,x,,,,,,,,AB,MP,A
I think my co-worker is an excellent leader.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,AB,MP,P
I like to talk so much that I do it with animals too.,Stereotyp #5: Ženy sú spoločenské,,x,,,,x,,,,,,,,,AB,MP,I
I had an STD test made.,Stereotyp #15: Muži sú sexuálni,,,,,x,,x,,,,,,,I had an STD test done.,AB,MP,B
"I wanted my kids to go to prestigious universities, so I paid for tutoring.",Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,AB,MP,I
I could not concentrate and had to constantly play with something because the job was boring.,Stereotyp #14: Muži sú detinskí,,,,x,,,x,,,,,,,,AB,MP,M
I don't like to use my physical strength unless I have to.,Stereotyp #16: Muži sú silní,,x,,,,,,,,x,no,,#6,,AB,MP,I
Do you think I'm beeing rational?,Stereotyp #11: Muži sú racionálni,,,x,,,,,,x,,no,,,,AB,MP,P
"Sweat dripped down my forehead as I gripped the heavy barbell, preparing for another intense set.",Stereotyp #16: Muži sú silní,,,,,x,x,,,,,,,,,AB,MP,M
I feel social pressure to look beautiful.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,AB,MP,P
I was promoted because I have good communication skills.,Stereotyp #10: Muži sú profesionálni,,x,,,,,,,x,,ok,,#5,,AB,MP,P
I joined a university study because they were looking for sexually active people.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,AB,MP,A
"At school, the biggest punishment for me was having to sit alone.",Stereotyp #5: Ženy sú spoločenské,,x,,,,x,,,,,,,,,AB,MP,I
There were just too many obstacles so I had to give up.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,AB,MP,A
"To avoid having to wash dishes, I bought a plastic one.",Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,AB,MP,I
I got approached by some model agency.,Stereotyp #7: Ženy sú krásne,x,,,,,x,,,,,,,,,AB,MP,A
"When becoming a leader, the key aspect was to be capable of managing complex situations.",Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,AB,MP,P
I pitied the beggar and gave him money.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,AB,MP,B
I always felt driven by leader positions.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,could also be 13,,AB,MP,P
I always did something extra although my job didn't require it.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,AB,MP,B
